text,rating,sentiment,clean_text
barang dah sampe gan..... tank's ya,4,Positif,dah sampe gan tank ya
biarkan bintang berbicara.............,5,Positif,biarkan bintang berbicara
"sesuai gambar, berfungsi baik, oke lah",4,Positif,sesuai gambar berfungsi
"Fast respon....
Fast delivery....
Goodssssss.....",5,Positif,fast respon fast delivery goodss
Fast respon. Pengiriman cepat..,5,Positif,fast respon cepat
Cepat sampai. Trimmmsssssw gan....,5,Positif,cepat trimmssw gan
Cukup bagus dan besar...hanya bahan kurang tebal kalo disusun lebih dari 5 bh agak penyok,5,Positif,bagus bahan tebal disusun bh penyok
Sesuai Gambar &amp; Sesuai Harga Mantap ga nyesel,5,Positif,sesuai gambar amp sesuai harga bagus nyesel
Barang bagus sesuai pesanan dan proses pengiriman cepat,5,Positif,bagus sesuai pesanan proses cepat
Terimakasih Barang sudah diterima dengan baik,5,Positif,terimakasih diterima
respon cepat.........,5,Positif,respon cepat
"Thanks gan,brg kalo bagus,nanti order lagi&#34;",5,Positif,terima kasih gan bagus
"Barang cepat sampai, seller responsif, dan controllernya benar2 plug&amp;amp;play (sy win10). Walaupun tombolnya agak keras pas ditekan, tapi sebanding lah sama harga. Overall, recommended bgt!",5,Positif,cepat responsif controllernya plug amp amp play win tombolnya keras pas ditekan sebanding harga overall recommended banget
Pembelian kesekian kali. Thanks Seller,4,Positif,pembelian kesekian kali terima kasih
"Barang bgs,,,sesuai pesanan ,,makasih",5,Positif,bgs sesuai pesanan terima kasih
Sesuai dengan deskripsi,5,Positif,sesuai deskripsi
Responya luar biasa b mantap,5,Positif,responya bagus
sippppppppppppppppppppppppppppp,5,Positif,sipp
"sesuai pesanan, pengiriman cepat...hari ini langsung dipakai..",4,Positif,sesuai pesanan cepat langsung dipakai
oke barang sampai semoga awet,5,Positif,semoga awet
"Paking bagus, fast respon, pengiriman cepat, barang sesuai pesanan",5,Positif,paking bagus fast respon cepat sesuai pesanan
Pokoknya top markotop... fast response pisan. tks....,5,Positif,pokoknya top markotop fast response pisan tks
"trimksi barang sudah sampai ,belum dicoba tp kelihatannya mantap .. sukses trus tokopedia👍",4,Positif,trimksi dicoba bagus sukses trus
barang sudah diterima....thanks,5,Positif,diterima terima kasih
"paket sesuai deskripsi, pengiriman cepat.............................",5,Positif,sesuai deskripsi cepat
"kirain bahan tatakannya kain tebal seperti terpal gitu ternyata yg ini agak tipis seperti plastik... yaa semoga awet
overall worthed kok 👍",4,Positif,kirain bahan tatakannya kain tebal terpal gitu tipis plastik yaa semoga awet overall worthed
"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",5,Positif,selamat tujuan berfungsi normal isi lengkap
"Bagus banget, recommended",5,Positif,bagus banget recommended
siiip...mantap bos..,5,Positif,siip bagus bos
Mantaaap 1 hari udh nyampe. Barang sesuai deskripsi,5,Positif,mantaap udh nyampe sesuai deskripsi
Thankyou kaos kakinya ya.. InsyaAllah sepatunya awet ya... Krn masih beberapa bulan atau setahunan lagi lah.,5,Positif,thankyou kaos kakinya ya insyaallah sepatunya awet ya setahunan
